title,authors,journal,year,doi,pmid,source_query
An analog of Clarias gariepinus Pituitary Adenylate Cyclase-Activating Polypeptide (PACAP-38) contributes to immune homeostasis and defences against Vibrio parahaemolyticus in Litopenaeus vannamei.,"Betancourt JL, Ihedimbu I, Rodríguez-Ramos T, Coronado-Molina DE, Carpio Y, Estrada MP, Hernández-López J, Ramos L, Dixon B.",,2026,10.1016/j.fsi.2025.111047,41317752,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
"Low-Fishmeal Dietary Supplementation with Crayfish By-Product Protein Hydrolysate Affects Growth Performance, Appetite-Related Metabolic Signaling and Intestinal Microbiota of Pacific White Shrimp (&lt;i&gt;Litopenaeus vannamei&lt;/i&gt;).","Ren L, Gu W, Sun H, Fan G, Yang X.",,2026,10.3390/metabo16040221,42042867,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
"Neuropeptide Diversity and Evolutionary Patterns in Crustaceans: Insights into Adaptations, Agonism, and Functional Importance in Organs","Wong THH, Chow LH, Hui TKL, Ma KY, Tsang LM, Leung RWT, Qin J.",,2026,10.21203/rs.3.rs-8566760/v1,,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Characterization and deorphanization of RYamide signaling in Aedes aegypti: A potential regulator of hindgut-associated physiology.,"Tan J, Luong T, Paluzzi JV.",,2026,10.1371/journal.pone.0342341,41729976,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
The neuropeptide FILa modulates larval settlement and ciliary function in the echiuran worm Urechis unicinctus.,"Zhang L, Zhang W, Lin D, Lai W, Zhang Z, Zhang Z.",,2026,10.1242/dev.205191,41958431,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Bridging genomes and peptidomes: hybrid sequencing reveals conserved bioactive peptides in crustaceans,"Fields L, Qin J, Ibarra AE, Selby KG, Gao T, Dang TC, Lu H, Li L.",,2026,10.64898/2026.05.04.721987,,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Tumor-induced orexigenic imbalance lowers protein appetite and drives early organ wasting symptoms.,"Petsakou A, Filine E, Li M, Chen Y, Zheng A, Perrimon N.",,2026,10.1038/s41467-026-70074-2,41792134,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Characterization of a myoinhibitory peptide and its role in neuroimmune regulation in Litopenaeus vannamei during Vibrio harveyi infection.,"Huang Y, Huang M, Tan X, Zhang Z, Cai J, Lu Y, Huang Y, Jian J.",,2026,10.1016/j.fsi.2025.110958,41176056,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Bursicon homodimers enhance the expression of innate immune genes and delay WSSV-induced mortality in Litopenaeusvannamei.,"Boonkaew T, Ho T, Udomkit A.",,2026,10.1016/j.fsi.2026.111271,41831810,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
C16-ceramide modulates sex-dimorphic defense strategies under cold stress in Cherax quadricarinatus via JAK-STAT suppression and oxidative disruption.,"Chen H, Cai H, Li S, Xu X, Lou B.",,2026,10.1186/s13293-026-00892-y,41888946,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Ion transport peptide regulates larval body water balance via a receptor guanylyl cyclase in &lt;i&gt;Drosophila&lt;/i&gt;.,"Watanabe A, Koyama T, Kubrak O, Texada MJ, Furumitsu M, Iwakoshi-Ukena E, Maxson R, Yoshii T, Kondo S, Yamanaka N, Ukena K, Rewitz K, Niwa R, Okamoto N.",,2026,10.1016/j.isci.2026.116252,42305610,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Dietary bioactive compounds modulating satiety and appetite: mechanisms of action.,"Casado-Hidalgo G, Pueyo-Arias M, Gil-Cardoso K, Les F, Mariné-Casadó R, Pinent M, Ardévol A, Lorente-Cebrián S, Capel F, Escoté X, Milagro FI, López V.",,2026,10.1007/s13105-026-01185-z,42219442,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
"Yeast enzyme hydrolysis slurry supplementation improves growth, intestinal health, and metabolic responses in juvenile largemouth bass (Micropterus salmoides) fed soybean meal-based diets with partial fishmeal replacement.","Wen J, Wang X, Wu H, Cui C, Zhou Q, Fu X, Shen S, Xiao S, Chen Y, Lin S, Ai Q, Lv G, He Y.",,2026,10.1186/s40104-025-01349-9,41772723,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Moulting in Pancrustacea is characterised by both deeply conserved and recently evolved gene modules,"Kim K, Campli G, Joye S, Chipman AD, Waterhouse RM, Robinson-Rechavi M.",,2026,10.64898/2026.01.15.699689,,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Effective in vitro evaluation of biogenic amines in fermented food using mast cells.,"An L, Kim JE, Park E, Lee HJ.",,2026,10.1016/j.fct.2025.115925,41475505,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Chemical cues facilitate foraging across the water-land interface in a resident predatory fish.,"McElfish MM, Hess NA, Lewis HB, O'Connor SE, Mehta RS.",,2026,10.1093/beheco/araf148,41536865,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Gene Expression of &lt;i&gt;GqBursicon&lt;/i&gt; in &lt;i&gt;Gynaephora qinghaiensis&lt;/i&gt; (Lepidoptera: Lymantriidae) and Its Impact on Wing Expansion.,"Kou G, Zhou Y, Liu Z, Wang H, Zhao Y, Li R, Lai Y, Gao S.",,2026,10.3390/ijms27093929,42123511,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
"A Neuroendocrine-Immune Model of Hidradenitis Suppurativa: Mechanistic Insights into Pain, Pruritus, and Hormonal Triggers.","Bilik SM, Kaiser RE, Shawwa JJ, Fleischmann B, Simecek S, Pastar I, Stone RC.",,2026,10.3390/jcm15103820,42194774,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
"Renaming the 'OS-D/CSP' Family (Part 1): '4-Cysteine Soluble Proteins' (4CSPs)-Molecular Nomenclature, Structure, Expression, Evolution, Tissue-Distribution, and Pleiotropy.","Liu G, Sun B, Fan W, Yue S, He Q, Picimbon JF.",,2026,10.3390/insects17020202,41752605,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
An RNA interference biopesticide reduces reproduction of the honey bee parasite Varroa destructor by down-regulating embryo development pathways.,"Smeele ZE, McGruddy RA, Baty JW, Manley B, Narva K, De Neef E, Gordon ER, Devisetty UK, Youngs K, Felden A, Lester PJ.",,2026,10.1002/ps.70406,41346097,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Comparative Profiling of &lt;i&gt;Capsicum frutescens&lt;/i&gt; and &lt;i&gt;C. annuum&lt;/i&gt; Reveals Superior Bioactivities and Nutritional Advantages for Functional Food Applications.,"Akter S, Mahib MMR, Hoque MR, Islam MR, Kabir MG.",,2026,10.1002/fsn3.71426,41523284,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
The NeuroImmunoEndocrine Circuit of Umami Peptides: A Systems Biology Approach.,"Hemmati S, Mohagheghzadeh A.",,2026,10.3390/nu18081299,42075112,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Sibling cases of congenital hypogonadotropic hypogonadism harboring compound heterozygous &lt;i&gt;KISS1R&lt;/i&gt; variants.,"Miyahara Y, Yamamoto K, Hata A, Maeyama T, Wada T, Yamazaki N, Kinoshita S, Etani Y, Kawai M.",,2026,10.1297/cpe.2025-0083,41923787,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Feeding decision-making by a single neuron via disparate neurotransmitters.,"Savaş D, Okoro AM, Moșneanu RA, Crown AM, Chang Z, Siegel R, Sorkaç A, Zandawala M, Barnea G.",,2026,10.1038/s41467-026-69443-8,41688453,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Cardiac neurons expressing a glucagon-like receptor mediate cardiac arrhythmia induced by high-fat diet in &lt;i&gt;Drosophila&lt;/i&gt;.,"Zhao Y, Duan J, van de Leemput J, Han Z.",,2026,10.7554/elife.94512,41789689,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
The involvement of miRNAs in the enhanced immune response of oysters via haemocyte-mediated immune priming.,"Zhou X, Guo L, Wang W, Song L, Dai Y, Zuo J, Wang L, Song L.",,2026,10.3389/fimmu.2026.1753252,41859108,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
"Approaches to deorphanize secretome: Classical, computational, and next generation strategies to reveal ligand-receptor networks.","Han M, Perrimon N.",,2026,10.70401/exo.2026.0008,42181609,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
